Repo Name,Repo ID,Type,Action,User Type,Merged,State,Changed Files,Deletions,Additions,Review Comments,Author Association,Star Score,Follower Score,Community Score
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,2,4,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,150,2007,3150,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,150,2007,3150,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,15,125,316,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,15,125,316,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,0,6,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,0,6,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,1,10,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,1,10,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,2,2,0,CONTRIBUTOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,75,780,3437,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,75,780,3437,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,23,7,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,23,7,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,7,7,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,2,7,7,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,5,5,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,5,5,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,23,120,257,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,23,120,257,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,11,29,51,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,11,29,51,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,84,827,3503,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,84,827,3503,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,opened,User,False,open,1,1,1,0,NONE,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,14,40,61,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,14,40,61,0,COLLABORATOR,10051,74,6
chat2db/Chat2DB,656227652,PullRequestEvent,closed,User,True,closed,1,0,143,0,COLLABORATOR,10051,74,6
